Date,Spread
02/21/2018,1.6414
02/20/2018,1.6315
02/19/2018,1.6395
02/16/2018,1.6598
02/15/2018,1.6106
02/14/2018,1.797
02/13/2018,1.5603
02/12/2018,1.5637
02/09/2018,1.5751
02/08/2018,1.8958
02/07/2018,1.5841
02/06/2018,2.0513
02/05/2018,1.6469
02/02/2018,1.8907
02/01/2018,1.473
